0.00 0 420.0939 197.1915 0.0000 0.0000 
0.00 1 391.5496 399.2200 0.0000 0.0000 
0.00 2 455.8237 98.7757 0.0000 0.0000 
0.00 3 167.6114 384.1148 0.0000 0.0000 
0.00 4 138.8874 276.9850 0.0000 0.0000 
0.00 5 238.6985 314.4355 0.0000 0.0000 
0.00 6 182.3922 256.7005 0.0000 0.0000 
0.00 7 476.1149 458.0975 0.0000 0.0000 
0.00 8 317.8559 358.6485 0.0000 0.0000 
0.00 9 70.8013 303.4844 0.0000 0.0000 
1.00 0 420.1179 197.2358 0.0240 0.0443
1.00 1 391.5469 399.3088 -0.0027 0.0888
1.00 2 455.8289 98.8041 0.0052 0.0284
1.00 3 167.5708 384.0397 -0.0405 -0.0751
1.00 4 138.8725 277.0477 -0.0148 0.0627
1.00 5 238.7183 314.4494 0.0198 0.0139
1.00 6 182.3952 256.6816 0.0030 -0.0189
1.00 7 476.0522 458.0576 -0.0627 -0.0400
1.00 8 317.8725 358.6976 0.0167 0.0491
1.00 9 70.8519 303.6621 0.0506 0.1776
2.00 0 420.1896 197.3678 0.0718 0.1320
2.00 1 391.5389 399.5754 -0.0080 0.2666
2.00 2 455.8447 98.8900 0.0157 0.0858
2.00 3 167.4494 383.8161 -0.1215 -0.2236
2.00 4 138.8280 277.2377 -0.0445 0.1899
2.00 5 238.7774 314.4905 0.0591 0.0411
2.00 6 182.4043 256.6253 0.0090 -0.0562
2.00 7 475.8640 457.9377 -0.1882 -0.1199
2.00 8 317.9227 358.8454 0.0501 0.1478
2.00 9 71.0040 304.1941 0.1521 0.5320
3.00 0 420.3320 197.6287 0.1423 0.2609
3.00 1 391.5234 400.1098 -0.0155 0.5344
3.00 2 455.8767 99.0638 0.0320 0.1739
3.00 3 167.2070 383.3751 -0.2423 -0.4410
3.00 4 138.7391 277.6245 -0.0890 0.3868
3.00 5 238.8946 314.5706 0.1172 0.0801
3.00 6 182.4228 256.5147 0.0186 -0.1106
3.00 7 475.4871 457.6982 -0.3769 -0.2395
3.00 8 318.0237 359.1429 0.1010 0.2974
3.00 9 71.3089 305.2548 0.3049 1.0607
4.00 0 420.5607 198.0580 0.2287 0.4294
4.00 1 391.8128 400.6422 0.2894 0.5324
4.00 2 455.9388 99.3534 0.0621 0.2896
4.00 3 166.7787 382.6801 -0.4283 -0.6950
4.00 4 138.5925 278.2897 -0.1466 0.6653
4.00 5 239.0860 314.6987 0.1915 0.1281
4.00 6 182.4549 256.3330 0.0321 -0.1817
4.00 7 474.8502 457.3055 -0.6369 -0.3927
4.00 8 318.1971 359.6398 0.1734 0.4969
4.00 9 71.8299 307.0066 0.5210 1.7518
5.00 0 420.8883 198.6887 0.3276 0.6306
5.00 1 392.4706 401.1769 0.6578 0.5348
5.00 2 456.0453 99.7927 0.1065 0.4393
5.00 3 166.1020 381.7062 -0.6767 -0.9739
5.00 4 138.3751 279.3330 -0.2174 1.0433
5.00 5 239.3697 314.8779 0.2836 0.1793
5.00 6 182.5063 256.0667 0.0514 -0.2663
5.00 7 473.8813 456.7265 -0.9689 -0.5790
5.00 8 318.4672 360.3877 0.2701 0.7479
5.00 9 72.6339 309.6044 0.8040 2.5979
6.00 0 421.3103 199.5507 0.4220 0.8621
6.00 1 393.5622 401.7127 1.0916 0.5358
6.00 2 456.1994 100.4309 0.1541 0.6382
6.00 3 165.1390 380.4326 -0.9630 -1.2736
6.00 4 138.0854 280.8742 -0.2897 1.5412
6.00 5 239.7495 315.1171 0.3799 0.2392
6.00 6 182.5843 255.7080 0.0780 -0.3587
6.00 7 472.5027 455.9306 -1.3786 -0.7960
6.00 8 318.6188 360.7907 0.1516 0.4030
6.00 9 73.8065 313.1864 1.1726 3.5819
7.00 0 421.8018 200.6121 0.4915 1.0614
